,0.975],P>|t|,[0.025,coef,std err,t
O,0.001,0.005,9.89e-05,0.0003,9.98e-05,3.0469999999999997
P,-9.89e-05,0.005,-0.001,-0.0003,9.98e-05,-3.0469999999999997
R,0.0,0.006999999999999999,8.23e-05,0.0003,9.590000000000001e-05,2.9130000000000003
S,-8.23e-05,0.006999999999999999,-0.0,-0.0003,9.590000000000001e-05,-2.9130000000000003
BM,0.002,0.037000000000000005,5.520000000000001e-05,0.0008,0.0,2.204
CK,0.001,0.044000000000000004,9.32e-06,0.0003,0.0,2.113
DJ,0.0,0.03,2.36e-05,0.0002,9.97e-05,2.293
EK,0.001,0.003,0.0,0.0004,0.0,3.218
EL,0.004,0.009000000000000001,0.001,0.0022,0.001,2.815
EQ,-2.15e-05,0.02,-0.0,-0.0001,5.11e-05,-2.475
ES,0.001,0.006,0.0,0.0008,0.0,2.992
FA,0.0,0.03,1.53e-05,0.0001,6.24e-05,2.301
FF,-4.210000000000001e-05,0.02,-0.0,-0.0002,9.8e-05,-2.4859999999999998
FG,0.001,0.016,7.170000000000001e-05,0.0003,0.0,2.59
GA,0.001,0.004,0.0,0.0004,0.0,3.145
GJ,0.001,0.023,6.69e-05,0.0005,0.0,2.407
GK,-0.0,0.017,-0.001,-0.0006,0.0,-2.551
GO,-7.879999999999999e-05,0.02,-0.001,-0.0005,0.0,-2.477
HP,-0.0,0.025,-0.003,-0.0018,0.001,-2.371
HT,-1.59e-05,0.043,-0.001,-0.0005,0.0,-2.126
HW,0.001,0.008,0.0,0.0005,0.0,2.8930000000000002
HZ,0.001,0.013999999999999999,0.0,0.0008,0.0,2.6489999999999996
IN,-0.005,0.013000000000000001,-0.036000000000000004,-0.0203,0.008,-2.656
IO,0.005,0.006,0.001,0.0029,0.001,2.977
JV,0.001,0.009000000000000001,0.0,0.0006,0.0,2.83
KA,0.001,0.02,4.8100000000000004e-05,0.0003,0.0,2.485
LY,-6.330000000000001e-05,0.018000000000000002,-0.001,-0.0003,0.0,-2.523
MI,0.001,0.043,1.22e-05,0.0004,0.0,2.128
